household_key,churn,churn_probability,risk_level,recency,tenure_days,purchase_frequency,discount_rate,median_basket_sales,median_basket_quantity,median_unique_products
1897,1,0.9997710161953294,High Risk,612,1,1.0,0.05005107252298264,19.58,5.0,5.0
2009,1,0.9997452594368071,High Risk,365,314,0.10509554140127389,0.19940539392652368,34.41,16.0,9.0
2306,1,0.9997441016895997,High Risk,340,319,0.025078369905956112,0.1862713503061553,5.885000000000001,3.5,3.5
130,1,0.9997048982088377,High Risk,343,313,0.06389776357827476,0.10892850162229781,16.200000000000003,19.0,3.0
1455,1,0.999596806651804,High Risk,421,243,0.05761316872427984,0.16964568753200515,26.5,4244.5,2.5
1538,0,0.9995869262260493,High Risk,343,276,0.11231884057971014,0.19300388450602698,11.08,5.0,4.0
494,1,0.9995760990399414,High Risk,587,1,1.0,0.030599755201958383,8.17,5.0,4.0
355,1,0.9995104214386867,High Risk,310,291,0.024054982817869417,0.2042663219133807,24.94,8.0,5.0
186,0,0.9993106184703795,High Risk,292,289,0.006920415224913495,0.04025854108956602,27.075,8.5,5.5
379,0,0.9993073519813378,High Risk,563,1,1.0,0.0,4.49,1.0,1.0
689,1,0.9993024089800776,High Risk,294,273,0.01098901098901099,0.13259668508287292,10.64,5.0,5.0
948,1,0.9992994157533843,High Risk,309,321,0.012461059190031152,0.24431687715269804,80.235,33.0,24.5
1365,1,0.9992077260526324,High Risk,292,357,0.025210084033613446,0.4251808972503618,9.559999999999999,4.0,4.0
173,1,0.9989880090811024,High Risk,287,325,0.03076923076923077,0.1781078435544963,15.575000000000001,9.0,7.0
1035,1,0.9989490880252074,High Risk,274,196,0.02040816326530612,0.06441215034965035,34.1,11.5,5.5
11,1,0.9987552393577791,High Risk,269,303,0.0165016501650165,0.3288409703504043,5.29,3.0,3.0
1472,1,0.9987210041876197,High Risk,264,331,0.012084592145015106,0.22308377235289756,41.265,6.5,5.0
870,1,0.9983699307258684,High Risk,263,329,0.0364741641337386,0.1526448780083675,9.105,2.0,2.0
1674,1,0.9981365234491439,High Risk,262,360,0.022222222222222223,0.668856002660459,13.76,13.5,10.5
2417,0,0.9980591902225749,High Risk,257,412,0.019417475728155338,0.17730119970272853,21.475,10.0,6.5
1327,1,0.9978840957760876,High Risk,272,297,0.030303030303030304,0.26428736089863153,48.51,31.0,24.0
1626,1,0.9977507539163852,High Risk,242,334,0.005988023952095809,0.05027932960893855,21.479999999999997,4.0,4.0
2164,1,0.997431636817066,High Risk,281,289,0.1384083044982699,0.4463006113449589,34.885000000000005,21.0,13.5
96,0,0.9973299631060637,High Risk,276,385,0.14805194805194805,0.1415844155844156,13.47,4.0,3.0
1411,1,0.9972752652384885,High Risk,238,338,0.01775147928994083,0.24893552311435524,19.085,7.0,5.0
1026,1,0.9969604310169011,High Risk,250,425,0.0611764705882353,0.32198089882193237,6.745,5.5,5.0
295,0,0.9969535363190103,High Risk,235,366,0.01092896174863388,0.5194100008104384,28.845,17.5,9.5
2422,1,0.9966488941735683,High Risk,240,416,0.01201923076923077,0.12429700872116717,66.07,29.0,18.0
500,1,0.9963519482868433,High Risk,228,436,0.011467889908256881,0.07993397783541617,10.25,5.0,4.0
1757,1,0.996250652152491,High Risk,227,421,0.023752969121140142,0.20165145588874403,14.315000000000001,6.0,3.0
2246,1,0.9959470216281043,High Risk,229,389,0.012853470437017995,0.11143612883149215,63.91,21.0,16.0
2384,0,0.9959465324544942,High Risk,238,410,0.04390243902439024,0.17340477965801815,27.125,14.0,11.0
231,1,0.9958768150980415,High Risk,228,425,0.021176470588235293,0.3298329648734954,25.91,24.0,9.0
272,1,0.9951942134816275,High Risk,224,379,0.018469656992084433,0.18816294009262485,35.43,23.0,13.0
1610,1,0.9949774822106384,High Risk,215,381,0.028871391076115485,0.13155814943157637,8.99,4.0,2.0
1322,0,0.9942929986881412,High Risk,215,398,0.03768844221105527,0.20035799058329118,8.5,5.0,4.0
1863,1,0.9941567661663621,High Risk,212,458,0.03056768558951965,0.27101713452424353,7.645,4.0,3.0
61,0,0.994033674127374,High Risk,206,398,0.022613065326633167,0.30683378096090713,20.0,6.0,4.0
2476,1,0.9927127577831246,High Risk,200,369,0.037940379403794036,0.10561424391211627,26.29,17.5,3.0
522,1,0.9921363330403719,High Risk,190,337,0.005934718100890208,0.009884117246080435,14.670000000000002,3.5,3.5
440,1,0.9917611107147654,High Risk,192,377,0.015915119363395226,0.12005245588936576,10.919999999999998,3.5,3.5
634,1,0.9914315296365025,High Risk,212,405,0.08641975308641975,0.166131884384143,22.97,7.0,6.0
995,0,0.9912408704406082,High Risk,199,413,0.04600484261501211,0.15603816540045534,35.16,9.0,7.0
54,1,0.9897868388867632,High Risk,186,462,0.023809523809523808,0.17974585313803473,6.0,3.0,2.0
1601,0,0.989555756142798,High Risk,204,471,0.04246284501061571,0.14775779631511368,53.78,19.5,18.0
559,1,0.9895082647615474,High Risk,192,412,0.06310679611650485,0.5650116307050613,6.61,2.0,2.0
2463,1,0.989328704986956,High Risk,186,399,0.03007518796992481,0.14436308546900645,12.045,5.5,4.0
1516,1,0.9883590873545681,High Risk,185,361,0.04155124653739612,0.12902035220921648,9.62,4.0,4.0
372,1,0.9875914811218491,High Risk,185,489,0.02044989775051125,0.23300485899822895,28.720000000000002,24.0,10.5
12,1,0.9862989162343704,High Risk,177,433,0.016166281755196306,0.12283535554637319,32.18,10.0,10.0
1144,0,0.985855332497771,High Risk,179,485,0.04329896907216495,0.048911059739627685,6.59,3.0,2.0
1478,1,0.9858458817332256,High Risk,168,402,0.014925373134328358,0.3590698724461,14.094999999999999,5.0,4.0
1162,1,0.9846292928107564,High Risk,184,391,0.08439897698209718,0.22755697609783213,10.49,6.0,3.0
2166,1,0.982164297351562,High Risk,174,400,0.075,0.25614535090844315,1.0,1.0,1.0
958,0,0.9820814764737389,High Risk,165,413,0.024213075060532687,0.1944435512395897,26.905,8.0,8.0
704,1,0.9812546571359574,High Risk,157,412,0.021844660194174758,0.23690056187116162,10.0,4.0,2.0
2106,1,0.9805687653827122,High Risk,189,453,0.11479028697571744,0.08482274859905309,31.97,21.0,8.5
828,1,0.9792053132498412,High Risk,181,442,0.083710407239819,0.1938014174293956,32.5,21.0,12.0
1888,1,0.9786347150631557,High Risk,158,455,0.024175824175824177,0.12041884816753924,11.18,9.0,5.0
775,1,0.9772604111063379,High Risk,167,469,0.07036247334754797,0.16130240856378233,18.67,5.0,5.0
1727,1,0.9764535142336698,High Risk,563,10,0.2,0.042883027984699014,74.505,16322.5,9.0
2409,0,0.9764322539429544,High Risk,184,464,0.015086206896551725,0.33006137899739674,112.19,52.0,43.0
1442,0,0.9751295421353628,High Risk,161,465,0.05591397849462366,0.2723011909335382,7.885,5.5,5.5
1915,0,0.9748463497634164,High Risk,159,434,0.06221198156682028,0.08174138223807098,1.25,2.0,2.0
179,1,0.9710830947027093,High Risk,159,450,0.08444444444444445,0.22900283614799535,14.955,6.0,4.0
299,0,0.9696001664351533,High Risk,140,434,0.020737327188940093,0.034125786817874426,20.87,14.0,5.0
572,1,0.969410475437006,High Risk,165,427,0.1053864168618267,0.19475170237502076,14.170000000000002,8.0,6.0
234,0,0.9684474616139613,High Risk,144,462,0.03896103896103896,0.18886321807573322,9.13,4.0,4.0
651,1,0.9684151468611166,High Risk,150,458,0.017467248908296942,0.3084230696569778,51.92,29.0,19.0
1309,1,0.9648587559617969,High Risk,131,534,0.016853932584269662,0.1745330641090358,10.0,9.0,1.0
1554,0,0.9645474674146794,High Risk,151,510,0.08823529411764706,0.16225275846879467,12.5,4.0,2.0
2443,1,0.9635660920516878,High Risk,228,413,0.36803874092009686,0.19867516796179877,24.770000000000003,12.0,5.0
1122,1,0.9621064178088009,High Risk,183,386,0.19948186528497408,0.13128749050105903,13.870000000000001,9.0,7.0
529,0,0.9614158000556953,High Risk,162,514,0.10700389105058365,0.21229407867401828,28.33,15.0,11.0
1371,1,0.9604754405386383,High Risk,150,526,0.08555133079847908,0.247370499335894,18.15,12.0,6.0
1059,1,0.9598759821381587,High Risk,126,522,0.009578544061302681,0.15800301741873543,7.470000000000001,3.0,3.0
310,0,0.9581430935087153,High Risk,130,473,0.010570824524312896,0.22184208157018098,20.23,11.0,10.0
1232,1,0.9579637434284332,High Risk,136,514,0.042801556420233464,0.3319208172122254,16.15,8.5,7.0
874,1,0.957820750749233,High Risk,124,533,0.009380863039399626,0.13567635676356762,37.7,7.0,7.0
2128,0,0.9562379112360031,High Risk,168,429,0.1864801864801865,0.09103275715128603,11.16,4.0,2.0
1934,1,0.9536383073908297,High Risk,132,523,0.028680688336520075,0.25081511227365666,27.0,14.0,11.0
584,1,0.9515867257810667,High Risk,146,450,0.12444444444444444,0.09857962305381043,14.035,5.0,2.0
38,1,0.9513453702231692,High Risk,130,450,0.06,0.08732103153810204,15.780000000000001,4.0,4.0
1878,0,0.9511664365975517,High Risk,131,543,0.05156537753222836,0.1849292858746352,7.74,4.0,4.0
1150,1,0.950348165581292,High Risk,129,455,0.03076923076923077,0.18215261595240068,44.345,19.5,14.0
1323,0,0.9502305521411121,High Risk,119,520,0.019230769230769232,0.23228960782274002,13.51,6.0,4.0
1028,1,0.9498632083008779,High Risk,123,525,0.022857142857142857,0.1320646378475925,7.555,6.5,5.0
2480,0,0.9491499685269668,High Risk,137,481,0.058212058212058215,0.14186688117847424,49.885,19.0,15.0
645,1,0.9487437373860702,High Risk,139,457,0.1050328227571116,0.22579592597771872,5.24,2.5,2.0
990,1,0.9406344714553296,High Risk,111,486,0.03292181069958848,0.10250080932340563,12.99,12.0,1.0
872,0,0.9398466201415182,High Risk,111,527,0.015180265654648957,0.10270529087862103,10.28,4.0,4.0
1469,1,0.9396921431196146,High Risk,131,528,0.08333333333333333,0.1791896551724138,11.09,6.5,5.0
678,1,0.9394373564797579,High Risk,137,456,0.125,0.23390029836444018,6.0,3.0,2.0
1840,1,0.939130414162598,High Risk,125,466,0.07939914163090128,0.07404881231280211,6.93,4.0,2.0
509,1,0.9379975004979966,High Risk,114,539,0.029684601113172542,0.0700368045031392,15.515,5.0,4.5
2103,0,0.9361566417051512,High Risk,119,504,0.05555555555555555,0.15357831250388607,9.29,5.0,4.0
455,0,0.9353539729800857,High Risk,116,503,0.04771371769383698,0.10902638337613822,33.81,9.5,7.0
1725,0,0.9340460969190745,High Risk,109,489,0.032719836400818,0.06785289708998812,31.655,6.5,5.5
2444,0,0.9332919129281319,High Risk,651,1,2.0,0.024531024531024535,6.93,2.5,1.5
620,1,0.9331709110360721,High Risk,110,470,0.04042553191489362,0.18715981375827923,9.76,4.0,3.0
363,1,0.9317187443253074,High Risk,100,488,0.00819672131147541,0.5053435114503817,8.995000000000001,7.0,4.0
499,1,0.9309286074395351,High Risk,137,505,0.13861386138613863,0.15912711054475948,4.845000000000001,2.5,2.0
819,0,0.9264339339408441,High Risk,103,507,0.009861932938856016,0.173025613660619,29.09,18.0,9.0
657,0,0.9233614207292925,High Risk,104,501,0.03592814371257485,0.016351276869373505,4.785,2.0,2.0
760,1,0.9209161976473262,High Risk,132,514,0.13618677042801555,0.11974771965052443,19.92,7.0,5.0
917,1,0.9174244851519064,High Risk,113,478,0.0899581589958159,0.23380691123485098,1.99,1.0,1.0
2054,0,0.9163985318541504,High Risk,99,542,0.04428044280442804,0.7477760902581905,4.495,2.5,2.0
649,1,0.9151921476032112,High Risk,125,442,0.1244343891402715,0.21812095658051436,15.82,8.0,6.0
1603,1,0.9138443712810863,High Risk,111,469,0.023454157782515993,0.28040266276993014,47.61,26.0,21.0
2316,1,0.9112806524823678,High Risk,104,540,0.05,0.13253268430222506,21.98,9.0,6.0
1308,1,0.910738291005953,High Risk,102,567,0.04056437389770723,0.18600661301391228,11.57,5.0,5.0
1655,0,0.9107300501116957,High Risk,107,567,0.06878306878306878,0.1945371711700363,4.98,2.0,2.0
1233,0,0.910198968829556,High Risk,103,533,0.06191369606003752,0.18651874539694419,21.51,101.0,2.0
1682,0,0.9071861486494156,High Risk,93,509,0.015717092337917484,0.24080530873917447,9.469999999999999,7.0,6.0
2052,1,0.9063980401785009,High Risk,90,591,0.01015228426395939,0.30630357278312975,10.135,4.5,4.0
2150,1,0.9050689556442019,High Risk,90,490,0.0163265306122449,0.2208597807270629,7.355,4.5,4.5
423,1,0.9047018016694167,High Risk,92,512,0.02734375,0.4127355425601039,13.075000000000001,7.0,5.0
835,1,0.9045112011141226,High Risk,93,478,0.03556485355648536,0.05850772433439246,11.45,4.0,3.0
783,1,0.9026035876787529,High Risk,95,560,0.030357142857142857,0.3312077244797852,13.74,9.0,6.0
1009,1,0.8996979225151716,High Risk,95,518,0.0444015444015444,0.1695347355003187,4.45,5.0,3.0
1118,1,0.8996520683581202,High Risk,86,531,0.030131826741996232,0.16599181723033332,50.739999999999995,9.5,5.5
444,1,0.8995557433713225,High Risk,110,504,0.0873015873015873,0.13101409299155053,21.1,8.5,7.5
565,0,0.8990628264684166,High Risk,90,514,0.03696498054474708,0.09484720243285201,12.35,2.0,2.0
827,0,0.898600189459245,High Risk,92,586,0.030716723549488054,0.23258746802147512,12.225000000000001,4.0,4.0
1022,1,0.8966684344377815,High Risk,100,540,0.06666666666666667,0.22068598776921033,5.285,3.0,3.0
2436,1,0.8966586523533413,High Risk,85,483,0.031055900621118012,0.17243080972159394,31.91,8.0,4.0
1243,1,0.8957928567506833,High Risk,87,450,0.03111111111111111,0.06748097717260713,10.379999999999999,3.5,3.0
1436,1,0.8955009572122697,High Risk,85,493,0.016227180527383367,0.2471643561420416,13.215,6.0,5.0
589,0,0.8911527442929112,High Risk,86,513,0.031189083820662766,0.27126123234916555,7.7,4.5,3.0
2493,1,0.8905222795464082,High Risk,138,526,0.21102661596958175,0.16291772413500055,14.0,11.0,4.0
2491,1,0.8892287121204977,High Risk,111,508,0.11811023622047244,0.1891940216876847,10.504999999999999,5.0,4.0
683,1,0.8864772950977488,High Risk,84,483,0.018633540372670808,0.1795354307556601,9.61,7.0,6.0
1339,0,0.8859064985218525,High Risk,73,557,0.008976660682226212,0.19671562756099098,71.08,24.0,7.0
1813,0,0.8853499487035276,High Risk,78,489,0.006134969325153374,0.15318188508905353,21.64,6.0,6.0
1416,0,0.8845646285863694,High Risk,75,565,0.008849557522123894,0.20953811490799854,14.06,14.0,1.0
834,0,0.8836710381332747,High Risk,87,547,0.04753199268738574,0.156397219507374,11.72,4.0,2.0
619,1,0.8827224335043682,High Risk,76,548,0.009124087591240875,0.2226890756302521,15.75,6.0,3.0
2118,0,0.8820775363479051,High Risk,89,478,0.05439330543933055,0.2349827178460979,17.225,7.5,5.0
1013,0,0.8815226114646116,High Risk,92,539,0.061224489795918366,0.20211213093000113,12.96,4.0,4.0
1497,0,0.8813641795942265,High Risk,85,502,0.01593625498007968,0.11229724397183742,63.635000000000005,15.5,15.5
2045,1,0.8792806467659131,High Risk,84,484,0.03925619834710744,0.10880762297192892,12.91,7.0,4.0
1482,1,0.8781286278020739,High Risk,86,558,0.03225806451612903,0.26208087494603544,24.61,9.5,8.0
746,1,0.877339611523491,High Risk,93,484,0.08057851239669421,0.06642650030753008,9.56,3.0,2.0
2096,1,0.8771521954646994,High Risk,90,497,0.052313883299798795,0.2640878884492759,29.91,13.0,9.0
963,1,0.8771268941877092,High Risk,93,557,0.07719928186714542,0.13235886205846828,29.0,19.0,4.0
2403,1,0.876784760974082,High Risk,79,491,0.020366598778004074,0.14280899823068496,9.235,5.0,4.5
1787,0,0.8762769243949037,High Risk,106,537,0.10986964618249534,0.26172161342105016,13.38,7.0,6.0
150,1,0.8741308793780446,High Risk,73,524,0.011450381679389313,0.22652485348382895,9.49,2.5,2.5
1468,1,0.8741173272525028,High Risk,113,526,0.15019011406844107,0.1169776340661176,36.3,16.0,6.0
5,0,0.8731231064680659,High Risk,92,505,0.07524752475247524,0.1579649975303368,16.675,5.0,4.5
93,1,0.871650976208006,High Risk,130,544,0.1948529411764706,0.2021740689391404,22.14,10.0,8.0
1908,1,0.8710549447600261,High Risk,93,524,0.07251908396946564,0.16056054094160796,17.064999999999998,7.0,6.0
902,1,0.8693397764719034,High Risk,75,582,0.01718213058419244,0.03934038305109813,12.985,4.0,2.5
921,1,0.8692530397555878,High Risk,76,550,0.014545454545454545,0.20602171767028626,11.68,6.0,5.0
555,1,0.8684844475164483,High Risk,80,558,0.03763440860215054,0.11254300126552948,13.34,6.0,3.0
2473,1,0.8675965788602712,High Risk,78,600,0.015,0.1613644611104391,22.27,9.0,7.0
2254,1,0.8674356469587623,High Risk,112,512,0.15625,0.1650647459361593,11.05,6.0,3.0
1562,0,0.8657343883040799,High Risk,95,493,0.07505070993914807,0.3250438043712152,20.06,17.0,10.0
1913,0,0.8619707116024901,High Risk,91,588,0.0782312925170068,0.24605097995351904,10.83,6.0,4.0
2414,1,0.8608653318869153,High Risk,81,585,0.010256410256410256,0.20427580031340944,23.490000000000002,14.5,12.5
2191,0,0.8575950381664822,High Risk,72,569,0.022847100175746926,0.06036667396677409,15.97,3.0,3.0
1741,0,0.8555954452827764,High Risk,71,496,0.028225806451612902,0.1903394255874674,7.005,3.5,2.5
2177,1,0.8549820087439721,High Risk,73,554,0.005415162454873646,0.24164794007490636,30.75,13.0,11.0
2157,1,0.8527912145227201,High Risk,83,560,0.02142857142857143,0.5937547990785769,28.5,24.5,16.5
453,0,0.8510999539714793,High Risk,79,526,0.060836501901140684,0.11348749435912865,8.715,2.0,2.0
1825,1,0.8503940102388315,High Risk,88,532,0.08082706766917293,0.19656738579788627,33.54,21.0,8.0
1301,0,0.8487034222462319,High Risk,103,545,0.14311926605504588,0.12314748988297057,14.370000000000001,4.0,3.5
1311,1,0.848299480366769,High Risk,74,527,0.03225806451612903,0.3335472485159634,32.1,12.0,9.0
45,1,0.8478122779623336,High Risk,94,488,0.1168032786885246,0.0823947762950848,10.18,3.0,3.0
2073,1,0.842563413765804,High Risk,98,518,0.138996138996139,0.2947921024257172,11.435,9.0,3.0
892,1,0.8411641250165723,High Risk,76,533,0.04127579737335835,0.3544021113893212,15.629999999999999,8.5,8.0
1561,1,0.8408947099565208,High Risk,70,525,0.011428571428571429,0.13871104357141079,27.585,19.5,10.5
181,1,0.8400924738960458,High Risk,89,548,0.07116788321167883,0.2146850049676207,36.3,37.0,13.0
2304,1,0.8386439111203949,High Risk,107,493,0.17849898580121704,0.18043233787329752,1.1600000000000001,1.0,1.0
642,1,0.837271699109633,High Risk,94,548,0.11678832116788321,0.11312116793609679,22.585,7.5,6.0
2382,1,0.8363917283492944,High Risk,79,568,0.06338028169014084,0.1693693474666926,14.235,5.5,5.0
1422,0,0.8353952588146858,High Risk,68,567,0.012345679012345678,0.25323637786545794,28.76,15.0,10.0
2143,1,0.834827551102736,High Risk,71,597,0.01507537688442211,0.28377699648417876,27.3,19.0,11.0
1286,1,0.832505282102089,High Risk,73,557,0.05385996409335727,0.1674453781512605,9.22,4.0,3.0
176,1,0.8311651346071788,High Risk,70,498,0.04618473895582329,0.19179489781679332,24.67,14.0,6.0
815,0,0.8308098972224363,High Risk,89,496,0.0907258064516129,0.25987197652342897,23.96,13.0,11.0
66,0,0.8294276406982932,High Risk,71,493,0.056795131845841784,0.20688517377914648,8.335,3.0,3.0
616,0,0.8282587133472733,High Risk,76,577,0.01559792027729636,0.35993016150152773,36.67,21.0,18.0
571,1,0.8272081471222593,High Risk,76,576,0.027777777777777776,0.11089969124721763,58.29,27.5,17.5
1828,1,0.825454553130627,High Risk,111,568,0.15140845070422534,0.10891211726642093,50.155,21.5,17.0
1974,1,0.8254319027902788,High Risk,171,486,0.4074074074074074,0.15465438663121914,21.3,10.0,6.0
2411,0,0.8243725429326614,High Risk,97,544,0.13602941176470587,0.09502996875922214,15.005,6.0,6.0
821,1,0.8236978960181226,High Risk,61,517,0.03288201160541586,0.030308248665403822,25.76,3.0,3.0
229,0,0.8219469481667628,High Risk,76,570,0.06842105263157895,0.34386003854186636,24.61,12.0,7.0
1400,0,0.8211558843903757,High Risk,58,516,0.01937984496124031,0.32240808016288075,15.305,5.0,4.0
969,0,0.8190771652031218,High Risk,70,552,0.012681159420289856,0.15686010048217958,39.04,26.0,16.0
833,1,0.8180987442559892,High Risk,76,496,0.06854838709677419,0.305761404361295,39.08,20.0,11.0
416,1,0.8165742981216336,High Risk,106,508,0.05708661417322835,0.17909179436298828,102.41,50.0,43.0
890,0,0.8165421129743138,High Risk,70,544,0.05514705882352941,0.3192780427280834,21.445,10.0,6.5
1582,1,0.8153211877962543,High Risk,79,503,0.073558648111332,0.11183941437425932,33.43,14.0,11.0
912,1,0.812974525161627,High Risk,65,526,0.03802281368821293,0.16148817551605946,34.900000000000006,18.0,8.5
1435,1,0.8124931894325226,High Risk,61,580,0.022413793103448276,0.24948219938254715,17.94,8.0,6.0
1910,1,0.8123651732701914,High Risk,67,593,0.04384485666104553,0.1145141070056482,24.335,7.0,6.0
2413,1,0.8117012932976174,High Risk,63,608,0.02631578947368421,0.11204007829866297,13.235,5.0,5.0
107,0,0.8103451319859727,High Risk,70,546,0.07326007326007326,0.1423372953613879,20.0,8.0,3.0
1444,1,0.8088018246090202,High Risk,63,579,0.039723661485319514,0.10784283465539059,10.3,4.0,3.0
1898,0,0.8062222744516447,High Risk,69,517,0.07156673114119923,0.38618103910016066,11.51,6.0,4.0
146,0,0.805662992481751,High Risk,75,580,0.06724137931034482,0.26678875907799177,15.52,11.0,8.0
2092,1,0.8010362172419738,High Risk,122,457,0.26695842450765866,0.18808228627310591,14.195,7.5,4.0
2433,1,0.8002208101518545,High Risk,63,501,0.059880239520958084,0.2327839278392784,16.44,7.0,3.5
1153,0,0.7998251970049447,High Risk,82,540,0.11851851851851852,0.2499801749887658,11.885,5.0,4.0
1855,0,0.797964900369819,High Risk,51,573,0.017452006980802792,0.07799479740752172,17.755,3.0,2.0
2066,0,0.7951364799386149,High Risk,105,512,0.216796875,0.2699659437510526,11.41,4.0,2.0
1670,1,0.7931788181394941,High Risk,57,603,0.03150912106135987,0.11691542288557213,4.0,4.0,2.0
1253,1,0.7929603066187046,High Risk,59,521,0.046065259117082535,0.2563886696483382,12.635,5.5,4.0
2329,1,0.792175411995604,High Risk,100,519,0.1926782273603083,0.19254179262921645,20.015,9.0,4.5
791,1,0.7908535787481655,High Risk,59,615,0.03414634146341464,0.21448137025180686,7.26,4.0,4.0
2391,1,0.7885818669162319,High Risk,74,582,0.09278350515463918,0.3868626956082787,9.6,7.0,5.0
2397,0,0.788186624126495,High Risk,65,613,0.052202283849918436,0.09866408101702219,21.145000000000003,9.0,6.5
126,0,0.7876395854816105,High Risk,61,533,0.054409005628517824,0.21034797521575568,10.69,5.0,4.0
370,1,0.787564954019145,High Risk,125,480,0.275,0.1523010056750069,26.58,16.0,8.0
1853,0,0.7855658422306137,High Risk,61,578,0.05536332179930796,0.0914868207796639,5.215,2.0,2.0
315,1,0.7828369290684748,High Risk,54,625,0.0176,0.1816784675338932,15.91,9.0,6.0
1200,0,0.7812842212231783,High Risk,60,555,0.05045045045045045,0.22781475584882258,37.29,9.5,8.5
1606,0,0.7812619523532558,High Risk,59,517,0.03288201160541586,0.2066983016455121,52.1,18.0,14.0
1589,0,0.7775193443424823,High Risk,53,550,0.03090909090909091,0.1996089095297748,22.1,7.0,6.0
1044,0,0.7747672184298684,High Risk,54,574,0.033101045296167246,0.2465161550696769,11.700000000000001,9.0,5.0
391,1,0.7738639034590201,High Risk,68,529,0.09262759924385633,0.14007815154604145,7.359999999999999,4.0,3.0
2152,1,0.7724781486448811,High Risk,54,596,0.04194630872483222,0.1979559246247205,4.49,3.0,2.0
1414,0,0.771034482364744,High Risk,45,525,0.017142857142857144,0.19411722710073537,9.98,4.0,3.0
2051,1,0.7707403695562383,High Risk,219,448,0.6428571428571429,0.11895205518406878,9.96,5.0,2.0
352,0,0.7696845943446102,High Risk,49,547,0.009140767824497258,0.0628047215807031,27.53,15.0,9.0
60,0,0.7678629837792654,High Risk,34,557,0.012567324955116697,0.5453422724064926,49.99,5.0,3.0
1143,1,0.767295550441988,High Risk,45,572,0.02097902097902098,0.34902775373607986,12.97,5.0,3.0
1237,1,0.7671593906327239,High Risk,60,508,0.03937007874015748,0.1633623806080901,53.785,23.0,16.0
626,0,0.7655534287111003,High Risk,60,610,0.03934426229508197,0.20390386889395937,11.49,21.5,8.5
2309,1,0.7646849268668184,High Risk,45,598,0.020066889632107024,0.3402421730118905,19.835,6.0,4.0
1031,1,0.7643488128227911,High Risk,124,489,0.2985685071574642,0.0788021133616249,26.17,12.0,6.0
1348,1,0.7621725286921526,High Risk,55,543,0.0423572744014733,0.0900006168650916,11.99,6.0,6.0
1736,1,0.7582911809036886,High Risk,51,529,0.04158790170132325,0.2626308481093783,12.2,6.5,5.0
1992,0,0.7582461785315383,High Risk,54,529,0.054820415879017016,0.19369456601727408,10.83,4.0,4.0
2104,1,0.7557349188590758,High Risk,52,620,0.0467741935483871,0.24944901631720484,10.780000000000001,4.0,3.0
899,1,0.7524463977837514,High Risk,43,592,0.02027027027027027,0.18204029827066476,16.439999999999998,4.5,3.5
1441,1,0.75222606904775,High Risk,47,615,0.02113821138211382,0.15017311380676016,26.67,9.0,7.0
89,1,0.75171913748743,High Risk,43,529,0.020793950850661626,0.055924757828339715,14.75,4.0,4.0
1986,1,0.7489285262026585,High Risk,44,567,0.021164021164021163,0.2384595322959228,10.045,4.5,4.5
629,1,0.7471768208181916,High Risk,51,617,0.04376012965964344,0.17218999178786193,10.870000000000001,5.0,4.0
1432,0,0.7463838722333084,High Risk,49,623,0.012841091492776886,0.4132343011478731,15.495000000000001,15.0,10.5
1449,1,0.7438575770546926,High Risk,56,520,0.075,0.15363575881526748,5.99,3.0,3.0
422,0,0.7434081795392199,High Risk,56,528,0.03409090909090909,0.40236782354849177,44.575,24.0,17.5
